close,epoch,high,low,open,ema8,ema21,ema50,ema200,rsi,macd_hist,bb_mid,bb_std,bb_upper,bb_lower,bb_width,bb_pos,atr,atr_pct,price_ema8_dist,price_ema21_dist,price_ema50_dist,ema_bull,ema_bear,candle_body,candle_dir,high_low_range,momentum_1,momentum_3,momentum_5,momentum_10,rsi_oversold,rsi_overbought,rsi_neutral,kalman_price_vs_raw,kalman_velocity,kalman_trend_dir,kalman_noise_ratio,kalman_ema_agreement,kalman_acceleration,garch_vol,realized_vs_garch,ou_theta,ou_zscore,ou_rev_time,ou_mean_dist,vwap_dist,vwap_direction,session_asian,session_london,session_ny,session_overlap,session_night,session_strength,fd_price_03,fd_price_04,dltm_score,hurst_exponent,vg_hurst,vg_alpha,vg_hub_density,retail_exhaustion,retail_cycle_pos,flow_toxicity,flow_benign,gc_skewness,gc_kurtosis,gc_weight,contrarian_score,label,label_strength,symbol,trend5m
4479.46,1780333080,4479.72,4478.86,4478.86,4478.028408267959,4474.6151031817635,4472.027313434924,4470.084453917962,86.52849740148069,3.413305086195578,4473.25,4.698086956691024,4482.646173913382,4463.853826086618,0.004201050204384719,0.8304536536447431,1.8835714285714207,0.0004204907351715208,0.00031969241852011006,0.00108275163483703,0.001662039617411786,1,0,0.00014512783529545162,1.0,0.00019201314620250753,0.00014512783529545162,-0.0003191330293759184,0.0004377442769402552,0.0018316943508218952,0,1,0,-0.00024866708119308746,0.00018257302736823471,1.0,0.0002903031172856482,1.0,-8.288519255332326e-06,0.002536402101823933,-0.8342176036319694,0.0,0.0,0.0,44794600000000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,1.7859295562404815e-05,frxXAUUSD,1
4480.22,1780333140,4480.98,4479.34,4479.44,4478.515428652857,4475.124639256149,4472.348595261005,4470.185305122758,86.65811416797229,3.390789396707987,4473.7945,4.848511952949346,4483.491523905898,4464.097476094102,0.004335033227788302,0.8313129916081161,1.9049999999999403,0.00042520233381395116,0.00038061080157005635,0.0011385963866021756,0.001760015922581617,1,0,0.00016966330763087544,1.0,0.00036612536668334647,0.00016966330763087544,-9.819981877660657e-05,-2.0087895703677535e-05,0.0019702957232730174,0,1,0,-0.0002014631754372207,0.000175185600834511,1.0,0.0003003141727950283,1.0,-1.0108999212961925e-05,0.002543706130131404,-0.8328413757936246,0.005090803859095831,1.5221236175062183,0.4,0.0015581512323255126,0.001262970480274629,1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5014749078337479,-1.0,0.0008593328006437903,frxXAUUSD,1
4479.85,1780333200,4480.97,4478.83,4480.12,4478.8120000633335,4475.55421750559,4472.642767995868,4470.28147124094,84.33503835562368,3.257782557743667,4474.3045,4.925462815549959,4484.1554256311,4464.4535743689,0.004403332688287052,0.7814710113339285,1.9678571428570908,0.00043926853418241476,0.00023175787165262006,0.0009598325225528774,0.0016114034538380893,1,0,-8.258523018956269e-05,-1.0,0.0004778033548940861,-8.258523018956269e-05,0.0002322045364728444,-0.00023209674863697622,0.0016276995105723314,0,1,0,-0.0003545144993660979,0.00016232123219322636,1.0,0.00032086150505588007,1.0,-1.52847514342845e-05,0.00255004947643545,-0.8277411395285733,0.004242990190416109,1.28138529330447,0.4,0.0013535489839777526,0.0010922077408693587,1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.485425686220298,-1.0,0.0007589539828566836,frxXAUUSD,1
4479.32,1780333260,4480.11,4477.65,4479.84,4478.924888938149,4475.896561368718,4472.904620231325,4470.371406850483,80.58631921088852,3.028327569430985,4474.8205,4.880875110274901,4484.582250220549,4465.05874977945,0.004362968400877488,0.7304658436381102,2.039999999999899,0.00045542627005882566,8.821560344241088e-05,0.0007648609802177864,0.0014342760048264018,1,0,-0.00011830753261842315,-1.0,0.0005493953301396897,-0.00011830753261842315,-3.1253767195225386e-05,-0.0002990630844563336,0.0012293744495755032,0,1,0,-0.0004911721032239215,0.0001446010860861906,1.0,0.0003499432110202054,1.0,-1.7526619879982232e-05,0.002554999339944817,-0.8217508924116782,0.028649662954100884,1.0447331788861456,0.6980641261963301,0.0011209563408121658,0.0008732903533350256,1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4696488785924097,-1.0,0.0006987667771224391,frxXAUUSD,1
4479.38,1780333320,4479.98,4478.86,4479.33,4479.026024729672,4476.213237607925,4473.158556692842,4470.461044593265,78.82018478248881,2.8127871217466236,4475.3060000000005,4.824188396425419,4484.954376792852,4465.657623207149,0.004311828863926263,0.7111235955744942,2.002857142857075,0.00044712820588051807,7.902951855466299e-05,0.0007074645965184455,0.0013908389850947464,1,0,1.3394890295937518e-05,1.0,0.0002500636322635371,1.3394890295937518e-05,-0.00018749079286287877,0.0001272659478744792,0.0007730254338772719,0,1,0,-0.0004819139579027347,0.00012726447973011488,1.0,0.0003757639145077451,1.0,-2.649781117952984e-05,0.00255933944241854,-0.8252954332671357,0.0385978162388396,0.9584240921030875,0.5181506053513433,0.0010189235523525909,0.0007692811224807121,1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4638949394735392,-1.0,0.001102831195411071,frxXAUUSD,1
4476.37,1780333380,4479.45,4475.73,4479.41,4478.435797011967,4476.227488734477,4473.284495646064,4470.5198401694515,64.6399055436532,2.2083082774897775,4475.6885,4.571154725702326,4484.830809451405,4466.546190548595,0.004085319812317054,0.5372717639655723,2.2235714285713715,0.0004967353968888567,-0.00046127646026446174,3.183735989314849e-05,0.0006897626021638207,1,0,-0.0006719679955708493,-1.0,0.000831149332064305,-0.0006719679955708493,-0.0007768117236069054,-0.0006898152902358937,-0.00025237297599108515,0,0,0,-0.000992678347373795,9.161962060553603e-05,1.0,0.0004481847446412138,1.0,-3.267990643615945e-05,0.0025627531223509025,-0.8061711550856293,0.06223838342053727,0.2262848953831457,0.3213399442739427,0.00023774910587085274,2.7688520036084226e-05,1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26508565969220976,-1.0,0.000766245864416985,frxXAUUSD,1
4476.45,1780333440,4477.48,4476.27,4476.4,4477.994508787086,4476.247717031343,4473.408633071708,4470.578846734929,62.23203025932297,1.7467917557423789,4476.102,4.216485940235727,4484.534971880471,4467.669028119529,0.0037679980842577256,0.520633295407624,2.143571428571314,0.0004788552153092996,-0.00034491082649945186,4.519029808984138e-05,0.0006798768406281779,1,0,1.787162365933233e-05,1.0,0.00027031434654279117,1.787162365933233e-05,-0.0006407222524847135,-0.0008414765346345385,-0.0008615475268453513,0,0,0,-0.0008269199377586686,6.193433273358509e-05,1.0,0.000489687222635271,1.0,-2.803712255417375e-05,0.0025744441876546058,-0.8139966292509865,0.11458758090803348,0.17091578867390828,0.17453746125062497,0.00017014142069956113,-3.119487245341493e-05,-1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2613943859115939,-1.0,0.0008042086921778236,frxXAUUSD,1
4476.19,1780333500,4477.35,4475.96,4476.38,4477.5935068344,4476.242470028494,4473.517706284582,4470.634679105726,57.969065226551734,1.3510368059060056,4476.472,3.8498169471171995,4484.171633894234,4468.772366105765,0.00344004559583282,0.48168744099252014,2.1421428571427765,0.00047856388069826724,-0.00031345115010057397,-1.172189148497246e-05,0.0005973584751130203,1,0,-5.808173887795295e-05,-1.0,0.0003105479048070797,-5.808173887795295e-05,-0.0007121521281964107,-0.000816991640345253,-0.0010488987678788416,0,0,0,-0.0007344294204467687,3.556429689931741e-05,1.0,0.0005179210707663774,1.0,-2.9361752309022162e-05,0.0025755835032857948,-0.8141920223099183,0.13022075034372577,0.021412639876125388,0.1535841742812484,1.965996306601952e-05,-0.00013305876079068644,-1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.251427509325075,-1.0,0.0005763830400630702,frxXAUUSD,1
4474.44,1780333560,4476.4,4474.42,4476.19,4476.892727537866,4476.078609116812,4473.553874665578,4470.672542995221,44.90358126288693,0.8141184210544452,4476.7385,3.480095695900698,4483.698691391802,4469.778308608199,0.003109492051769986,0.33488241409986524,2.1164285714284494,0.000473004123740278,-0.0005478638169683737,-0.00036608139845330435,0.00019808084562018092,1,0,-0.0003909574883997241,-1.0,0.00044251545451690256,-0.0003909574883997241,-0.00043115292078184955,-0.0010894510773956762,-0.0013881883472524395,0,0,0,-0.0009004477382778119,3.2208832206241892e-06,1.0,0.0005531809666822323,1.0,-3.344031114165077e-05,0.002576610799687911,-0.8164238830948165,0.157510555617279,-0.541529127233531,0.12697481096939914,-0.00045392889757829547,-0.0005888623160344823,-1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28610194181556875,0.0,3.352374820100346e-05,frxXAUUSD,1
4472.94,1780333620,4474.36,4472.78,4474.36,4476.014343640562,4475.793281015283,4473.529801149281,4470.6951047564635,34.21052631247282,0.2210626252790462,4476.889,3.2259652166355886,4483.340930433272,4470.4370695667285,0.0028823276312062358,0.19396756204503338,2.020714285714153,0.00045176422793825834,-0.0006868484782518116,-0.0006374916883195554,-0.0001318424545043351,1,0,-0.000335237482232406,-1.0,0.00035324786821616357,-0.000335237482232406,-0.0007841034748517553,-0.001437698967267873,-0.0013106159895152215,1,0,0,-0.0009610355767689149,-3.131692678716357e-05,-1.0,0.0005840954453484195,0.0,-3.0512281362384694e-05,0.0025803839763277833,-0.8249236103715316,0.17352946262403662,-1.1198481624718208,0.1152535393358059,-0.0008484971815978754,-0.0009628721305027875,-1.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4746565441647881,1.0,0.00044936887145817495,frxXAUUSD,1
