close,epoch,high,low,open,ema8,ema21,ema50,ema200,rsi,macd_hist,bb_mid,bb_std,bb_upper,bb_lower,bb_width,bb_pos,atr,atr_pct,price_ema8_dist,price_ema21_dist,price_ema50_dist,ema_bull,ema_bear,candle_body,candle_dir,high_low_range,momentum_1,momentum_3,momentum_5,momentum_10,rsi_oversold,rsi_overbought,rsi_neutral,kalman_price_vs_raw,kalman_velocity,kalman_trend_dir,kalman_noise_ratio,kalman_ema_agreement,kalman_acceleration,garch_vol,realized_vs_garch,ou_theta,ou_zscore,ou_rev_time,ou_mean_dist,vwap_dist,vwap_direction,session_asian,session_london,session_ny,session_overlap,session_night,session_strength,label,label_strength,symbol,trend5m
5589.143,1773232680,5589.143,5588.8,5588.8,5587.97815167366,5586.313572822121,5584.719899562779,5583.298024577736,99.99999997060677,1.664578851538863,5585.92645,2.0169873176282733,5589.9604246352565,5581.892475364743,0.0014443350342561447,0.8986824770535132,0.34021428571428,6.087056382602484e-05,0.00020845613470963457,0.0005064927238678545,0.0007920004076780367,1,0,6.137274549095352e-05,1.0,6.137274549095352e-05,6.137274549095352e-05,0.00017429680455264375,0.00029924092670914094,0.0006056472172094307,0,1,0,-3.6941331506167256e-06,6.089373899551001e-05,1.0,4.651518250742232e-06,1.0,-5.580515978335671e-08,0.0025228915709565327,-0.975872660516198,0.0,0.0,0.0,55891430000000.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00023903485740125815,CRASH1000,1
5589.509,1773232740,5589.509,5589.144,5589.144,5588.318340190624,5586.604066201928,5584.907707423063,5583.359825328207,99.99999997098446,1.714273988696732,5586.26735,2.017538763078729,5590.302427526158,5582.232272473842,0.0014446417521201138,0.9016837320838978,0.34464285714284415,6.16588786497784e-05,0.00021306227328040154,0.0005199820434110764,0.000823879787811288,1,0,6.548410015631714e-05,1.0,6.530517016555222e-05,6.548410015631714e-05,0.00018717132062970763,0.00029832625904603984,0.0006063240294429043,0,1,0,6.900083100134421e-07,6.0915243903902035e-05,1.0,4.650296607278387e-06,1.0,-3.1525548876468343e-08,0.0025319184844980044,-0.9756473296466587,0.017436351491527953,1.8223311138107705,1.0,0.0006413528771042123,0.0006613642335276441,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00023293638135293813,CRASH1000,1
5589.828,1773232800,5589.828,5589.513,5589.513,5588.653820148264,5586.897151092661,5585.100660073139,5583.42418527519,99.99999997075413,1.7566690556022877,5586.607599999999,2.015411813735791,5590.638423627471,5582.576776372528,0.0014430308752923203,0.899471708209093,0.3419285714285901,6.116978401278001e-05,0.0002101006592148752,0.0005245933168406305,0.0008464198256365223,1,0,5.707120249746606e-05,1.0,5.635553580437217e-05,5.707120249746606e-05,0.00018393930718584112,0.0002968772061117927,0.0006019907043184238,0,1,0,-2.434899263231433e-06,6.082330619968524e-05,1.0,4.693865350979454e-06,1.0,6.7610333573817e-09,0.0025395763998948247,-0.9759133524761655,0.01686385962045034,1.8106962235469564,1.0,0.0006373934108256181,0.0006558910109763263,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00023417536281962286,CRASH1000,1
5590.202,1773232860,5590.202,5589.829,5589.829,5588.997860115316,5587.197591902419,5585.300712619291,5583.491626217726,99.99999997122893,1.8002682128972083,5586.94755,2.0198324702539834,5590.987214940508,5582.9078850594915,0.0014461080596714655,0.9028118727466197,0.34757142857142753,6.217511076906121e-05,0.00021544826368196846,0.0005377307761471707,0.000877533302662786,1,0,6.690724651989105e-05,1.0,6.672833820148978e-05,6.690724651989105e-05,0.00018947448651791116,0.00031117679404882103,0.0006046369099868818,0,1,0,2.8218326461424763e-06,6.0921343507626425e-05,1.0,4.709537676478579e-06,1.0,-6.816117037532263e-08,0.0025460472741699837,-0.9755797117524844,0.01566034862053622,1.8297881174521455,1.0,0.000643395823970147,0.0006650036043495211,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0002243210531569173,CRASH1000,1
5590.479,1773232920,5590.479,5590.208,5590.208,5589.327002311912,5587.495901729472,5585.503782712652,5583.561152325012,99.9999999703327,1.8311005824398308,5587.2838,2.019977034782555,5591.323754069565,5583.243845930435,0.0014461245263987783,0.8954500403830564,0.3370714285714322,6.02938368199634e-05,0.0002061066900561835,0.0005338882252431978,0.0008907374304797948,1,0,4.9550982236427e-05,1.0,4.847762373075124e-05,4.9550982236427e-05,0.00017353939317393303,0.00030042227311767415,0.0006020996525040969,0,1,0,-6.618672847103979e-06,6.067965470717384e-05,1.0,4.96071453192196e-06,1.0,-2.291878146281903e-07,0.0025515585064874993,-0.9763697621263089,0.013581823555066257,1.793807805669541,1.0,0.0006320893418804946,0.0006471095872886622,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0002305705825922537,CRASH1000,1
5590.811,1773232980,5590.811,5590.48,5590.48,5589.656779575931,5587.79727429952,5585.711908880783,5583.633290112823,99.99999997014288,1.8595052764112552,5587.6222,2.0153868794052667,5591.652973758811,5583.591426241189,0.0014427510001699605,0.8955568075409706,0.3349285714285283,5.990697439575909e-05,0.0002064921818251948,0.0005393405581017037,0.0009128811514803529,1,0,5.9386682250200606e-05,1.0,5.920779611055313e-05,5.9386682250200606e-05,0.00017585514259101486,0.00029843573513857767,0.0005977659660336646,0,1,0,-6.1307333549440115e-06,6.045581344790258e-05,1.0,5.05443880635331e-06,1.0,-2.253667919883893e-07,0.002556194181958361,-0.9765639588435888,0.018548590113590595,1.7915207851253308,1.0,0.0006312906460916618,0.0006508335893193101,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00022232910395296728,CRASH1000,1
5591.137,1773233040,5591.137,5590.815,5590.815,5589.985717447947,5588.100885726836,5585.924657552125,5583.707953892795,99.99999997003425,1.8848317211104586,5587.96005,2.0096216840866914,5591.979293368173,5583.9408066318265,0.0014385369015561208,0.8952174214016908,0.33371428571425504,5.9686300964232334e-05,0.000205954471128541,0.0005433177273013111,0.0009331207933189668,1,0,5.830996612119709e-05,1.0,5.75944652076863e-05,5.830996612119709e-05,0.0001672569255993744,0.00029125992998663613,0.0005896730795179989,0,1,0,-6.416605585288402e-06,6.022181863118844e-05,1.0,5.2251815579648945e-06,1.0,-2.4870943592385436e-07,0.0025601488291530977,-0.976686355905093,0.01898235278862829,1.7892885721212453,1.0,0.0006290332227543695,0.0006529708068671255,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00022285270419953842,CRASH1000,1
5591.456,1773233100,5591.456,5591.138,5591.138,5590.3124469039585,5588.405896115306,5586.141572942238,5583.785048878936,99.99999996977547,1.9065507886525666,5588.29865,1.9990678163091304,5592.296785632618,5584.300514367382,0.0014308954775056483,0.8948527876533673,0.33085714285717976,5.9171912084648395e-05,0.0002045597821057283,0.0005457914012320425,0.0009513591784898381,1,0,5.7054584783096715e-05,1.0,5.68757201128295e-05,5.7054584783096715e-05,0.0001747614113208983,0.0002912433083808075,0.0005882069779922911,0,1,0,-7.432192281279472e-06,5.995137093310849e-05,1.0,5.384543570094386e-06,1.0,-2.9488840665634466e-07,0.0025635030112853134,-0.9769175189122433,0.02141191091235268,1.7847981280196985,0.9340159346790352,0.0006256218671426392,0.0006505541446472551,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00023249758202517946,CRASH1000,1
5591.768,1773233160,5591.768,5591.456,5591.456,5590.635903147523,5588.711541923006,5586.362217140582,5583.8644812284,99.99999996991188,1.9243612245172699,5588.635,1.987998861588055,5592.610997723176,5584.659002276824,0.0014228868849642457,0.8939891592050172,0.3323571428571605,5.943686198303658e-05,0.00020249876258970193,0.0005468985210753094,0.0009676749643679081,1,0,5.579941968601605e-05,1.0,5.579941968601605e-05,5.579941968601605e-05,0.00017117373490184475,0.0002801329898275188,0.0005913969547620217,0,1,0,-8.98480954151578e-06,5.962512529727592e-05,1.0,5.714288485608328e-06,1.0,-4.048271575729543e-07,0.002566347798128906,-0.9768398656992797,0.021467632841798485,1.780568906457529,0.9315916922786475,0.0006208240141208867,0.000650406220107813,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00024536068019994717,CRASH1000,1
5592.054,1773233220,5592.054,5591.775,5591.775,5590.951035781407,5589.015401748187,5586.58542431154,5583.945968977371,99.99999996945232,1.935634033219685,5588.9709,1.9687056100232925,5592.908311220047,5585.033488779954,0.0014089932799781332,0.8915135894637564,0.3273571428571813,5.853969630071192e-05,0.00019727667288342866,0.0005436732650374085,0.0009788762317429335,1,0,5.114661409415646e-05,1.0,4.9894711428919465e-05,5.114661409415646e-05,0.00016400957443903712,0.00028172898959101533,0.0005822359003721455,0,1,0,-1.3545707396554812e-05,5.913498419558937e-05,1.0,6.348241807843888e-06,1.0,-4.364866410883244e-07,0.0025687606331841082,-0.9772108801164409,0.025022075463214485,1.7644979850702465,0.7992622661191775,0.0006117772944555885,0.0006418510809447815,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.000249461110354,CRASH1000,1
