close,epoch,high,low,open,ema8,ema21,ema50,ema200,rsi,macd_hist,bb_mid,bb_std,bb_upper,bb_lower,bb_width,bb_pos,atr,atr_pct,price_ema8_dist,price_ema21_dist,price_ema50_dist,ema_bull,ema_bear,candle_body,candle_dir,high_low_range,momentum_1,momentum_3,momentum_5,momentum_10,rsi_oversold,rsi_overbought,rsi_neutral,label,label_strength,symbol,trend5m
209.67,1772531760,209.7,209.587,209.625,209.57469296890713,209.5861084658211,209.63570357456342,209.69194932341003,55.95744664182747,-0.011415496913969037,209.5766,0.08232502976807339,209.74125005953616,209.41194994046387,0.0015712637721591349,0.7836318437562069,0.06471428571428005,0.0003086482840381554,0.00045476402585973495,0.00040027239778904494,0.00016360011606690283,0,1,0.00020989762720254992,1.0,0.0005391555773971937,0.00020989762720254992,0.0006204066049438457,0.0009022297964965927,0.0009261204147486862,0,0,0,1.0,0.0002480087756952398,frxGBPJPY,1
209.593,1772531820,209.66,209.593,209.654,209.57876119803888,209.58673496892825,209.63402892458055,209.69096475302786,52.39043810090348,-0.007973770889378784,209.57035000000002,0.07548598684871695,209.72132197369746,209.41937802630258,0.0014407760801796391,0.5750139227425803,0.06649999999999474,0.00031728158860264773,6.794009984465214e-05,2.989230722384835e-05,-0.00019571691099501545,0,1,-0.0003672437640099273,-1.0,0.00031966716445671044,-0.0003672437640099273,0.00018610954694240462,0.0006015267321340173,0.000510773989669707,0,0,1,1.0,0.0007061304528301258,frxGBPJPY,1
209.695,1772531880,209.695,209.573,209.59,209.60459204291914,209.59657724448022,209.636419947146,209.69100490473903,60.2990031820294,0.008014798438921389,209.5695,0.0738857581889527,209.7172715163779,209.4217284836221,0.0014102387644948427,0.9246420520805196,0.07342857142856474,0.00035016844192071697,0.00043132622334125244,0.0004695818835103121,0.00027943643031469825,0,0,0.00048665747424749494,1.0,0.000582136057602494,0.00048665747424749494,0.00032915764265861817,0.0007397155674330781,0.0007779241356924226,0,0,0,1.0,5.722597105319848e-05,frxGBPJPY,1
209.672,1772531940,209.73,209.669,209.697,209.6195715889371,209.6034338586184,209.63781524333635,209.69081580120928,62.69430036654261,0.016137730318718013,209.56835,0.07198411740025165,209.7123182348005,209.4243817651995,0.001373950167575366,0.859975240571723,0.07292857142856235,0.00034782217667863306,0.00025011219451255746,0.00032712317789535076,0.00016306579337305632,0,0,-0.0001096831111852222,-1.0,0.00029093475907239285,-0.0001096831111852222,9.53879906523869e-06,0.0005631006804925637,0.0007875631840459426,0,0,0,1.0,0.00026231447212792756,frxGBPJPY,1
209.722,1772532000,209.731,209.662,209.675,209.6423334580622,209.614212598744,209.64111660634276,209.6911260917445,71.20689637984785,0.02812085931822139,209.5718,0.07768262015201924,209.72716524030403,209.41643475969596,0.0014826922353488015,0.9833771041957214,0.0735714285714185,0.0003508045344380585,0.00038001171148829144,0.0005142180003908026,0.00038581836887048116,0,0,0.00023846770193439051,1.0,0.0003291011246671094,0.00023846770193439051,0.0006154785703718997,0.0004579584593512152,0.0010166627686634972,0,1,0,0.0,7.152325459424753e-05,frxGBPJPY,1
209.741,1772532060,209.741,209.665,209.72,209.6642593562706,209.6257387261309,209.64503360217248,209.6916223495381,71.64685891289683,0.03852063013971474,209.57750000000001,0.08571341478253515,209.74892682956508,209.40607317043495,0.0016359278029851874,0.9768798452294063,0.07464285714285016,0.0003558810968902129,0.00036601681166367723,0.0005498431374389014,0.00045775660018565885,0,0,9.059612248594043e-05,1.0,0.0003624830086089027,9.059612248594043e-05,0.00021936622237057993,0.00033862736681448236,0.0012411626830113242,0,1,0,0.0,0.0,frxGBPJPY,1
209.707,1772532120,209.741,209.685,209.741,209.67375727709936,209.63312611466446,209.64746365698923,209.6917753609855,65.16464455592566,0.04063116243489162,209.58215,0.09020285618070199,209.7625557123614,209.40174428763862,0.0017215751662189892,0.8460256282386357,0.07407142857142292,0.00035321390593267237,0.00015854498594550267,0.00035239604877677,0.0002839831304049152,0,0,-0.0001621046910237103,-1.0,0.00026706726756794665,-0.0001621046910237103,0.00016692739135401913,0.0005439112947472003,0.0011457652040649175,0,1,0,1.0,0.0002527335758939724,frxGBPJPY,1
209.727,1772532180,209.749,209.696,209.707,209.6855889932995,209.64166010424043,209.65058272926416,209.69212585490604,69.23076906132405,0.04392888905906034,209.59004999999996,0.09573949028482555,209.78152898056962,209.3985710194303,0.0018271762478195483,0.8576110534609332,0.07421428571428075,0.00035386138033863425,0.00019749095252243252,0.0004070750809602474,0.00036449825104721133,0,0,9.53711607147148e-05,1.0,0.00025274683351123533,9.53711607147148e-05,2.3841084864692633e-05,0.00015260258947516836,0.0008924310394193118,0,1,0,1.0,9.536206592425152e-06,frxGBPJPY,1
209.707,1772532240,209.742,209.704,209.728,209.6903469947885,209.64760009476404,209.65279517125379,209.69227385634977,66.77966085848948,0.04274690002446846,209.59685,0.09908649862884511,209.7950229972577,209.3986770027423,0.0018909921333044844,0.7779137456829608,0.07235714285713714,0.0003450392350142682,7.941712839978615e-05,0.000283332149803287,0.0002585457002942942,0,0,-9.53620659237995e-05,-1.0,0.00018120779765748088,-9.53620659237995e-05,-0.0001621046910237103,0.00016692739135401913,0.0007301220687742471,0,1,0,1.0,0.0004100959910733201,frxGBPJPY,1
209.741,1772532300,209.751,209.707,209.708,209.70160321816883,209.65609099524005,209.6562541841458,209.69275869360004,71.8120803682271,0.0455122229287781,209.60765,0.10255384978273871,209.81275769956548,209.40254230043453,0.001957063108769875,0.825073120609332,0.07307142857142424,0.0003483888632714835,0.0001878706754101394,0.00040499183380220653,0.0004042131544512439,0,0,0.00016213097321502872,1.0,0.00020981655357231834,0.00016213097321502872,0.00016213097321502872,9.059612248594043e-05,0.0005485960710978325,0,1,0,1.0,0.0003480483071978253,frxGBPJPY,1
209.76,1772532360,209.762,209.74,209.742,209.71458028079797,209.66553726840004,209.66032264751263,209.69342776132544,74.37603976018598,0.04904301239793085,209.62185,0.1030264529137826,209.82790290582756,209.41579709417243,0.001965948738908296,0.8352294386765059,0.07278571428571061,0.00034699520540479886,0.0002165787383080431,0.00045054009748403195,0.00047542306159159347,1,0,9.058791557191e-05,1.0,0.0001048917707637116,9.058791557191e-05,0.00015734740877412686,9.058791557191e-05,0.0004292459579337077,0,1,0,1.0,0.0002383676582761793,frxGBPJPY,1
209.729,1772532420,209.758,209.704,209.758,209.71778466284286,209.67130660763638,209.66301587702196,209.69378171394905,66.90518766785934,0.046478055206478075,209.63400000000001,0.1004589468389683,209.83491789367795,209.43308210632208,0.0019168445355041569,0.7364149807349597,0.07149999999999627,0.000340916134630863,5.34782358834483e-05,0.00027516112384225763,0.0003147151284743236,1,0,-0.0001477879481310198,-1.0,0.00025750581772391706,-0.0001477879481310198,0.00010490827678622693,0.00010490827678622693,0.0006488766323300836,0,1,0,1.0,0.0003242279322362841,frxGBPJPY,1
209.793,1772532480,209.811,209.73,209.731,209.73449918221112,209.6823696433058,209.66811329360934,209.69476896057643,69.62233153124595,0.05212953890531935,209.64704999999998,0.10342018280065171,209.85389036560127,209.44020963439868,0.0019732246707148487,0.8528083106275296,0.07321428571428205,0.0003489834537581428,0.0002789279685363475,0.0005276092447943853,0.0005956399589277709,1,0,0.00030515570092816175,1.0,0.0003862108425116992,0.00030515570092816175,0.00024792482156549126,0.00031469481754838925,0.00046734543026760993,0,1,0,1.0,6.196584252098606e-05,frxGBPJPY,1
