close,epoch,high,low,open,ema8,ema21,ema50,ema200,rsi,macd_hist,bb_mid,bb_std,bb_upper,bb_lower,bb_width,bb_pos,atr,atr_pct,price_ema8_dist,price_ema21_dist,price_ema50_dist,ema_bull,ema_bear,candle_body,candle_dir,high_low_range,momentum_1,momentum_3,momentum_5,momentum_10,rsi_oversold,rsi_overbought,rsi_neutral,label,label_strength,symbol,trend5m
32887.7606,1772698380,32918.2342,32880.0333,32918.2342,32936.27238008817,33010.76800558927,33074.676631840426,33125.9462398164,20.18474278268799,-74.4956255010984,33038.701345,108.28136701849469,33255.26407903699,32822.13861096301,0.013109639617827426,0.15150803606350507,52.30529285714355,0.0015904181951854619,-0.0014728983149137082,-0.0037262812415767483,-0.00565133361456613,0,1,-0.0010600479969719125,-1.0,0.0011618266822131247,-0.0010600479969719125,-0.0006297342616588056,-0.0008656513429689747,-0.005515128241024571,1,0,0,0.0,5.4834989281828166e-05,R_75,-1
32890.4658,1772698440,32910.7069,32885.324,32886.7791,32926.09314006858,32999.83144144479,33067.4526776506,33123.60315086301,22.92884186544255,-73.73830137620826,33025.898555,109.98626115206248,33245.871077304124,32805.926032695876,0.01332121346753311,0.192159835279841,47.306271428571826,0.00143829739950268,-0.0010820397038003417,-0.003314127274827144,-0.005352298508624622,0,1,8.225552456729709e-05,1.0,0.0007718610283419072,8.225552456729709e-05,-0.0007015741242990712,-0.0015942483609355659,-0.003365960318279386,1,0,0,0.0,0.0010655945164509575,R_75,-1
32913.5419,1772698500,32913.5419,32873.713,32890.859,32923.30397560889,32991.98693767708,33061.41696087999,33121.51298916288,19.062945204716613,-68.68296206818923,33014.89849,109.65476804079076,33234.20802608158,32795.58895391842,0.013285489043560509,0.26891887190366554,46.65754285714242,0.0014175789101914438,-0.0002965095974610178,-0.002377699707061261,-0.004472738148367022,0,1,0.0007016045361084043,1.0,0.0012115729062912067,0.0007016045361084043,-0.0002769612159105503,0.00015368984998699974,-0.002403433739165045,1,0,0,0.0,0.0006432215671080701,R_75,-1
32928.3785,1772698560,32936.6574,32902.0739,32911.0855,32924.431647695805,32986.204352433706,33056.19976633568,33119.59125295231,23.73105946222738,-61.77270473790122,33004.619894999996,107.52198209007342,33219.663859180146,32789.57593081985,0.013031143207483348,0.3227306790713744,46.03029999999905,0.0013978914874292717,0.00011987609524826524,-0.0017530314132502085,-0.0038667864799708566,0,1,0.00045077494379303854,1.0,0.001051103954878457,0.00045077494379303854,0.0012350460858072938,0.00045031291983936545,-0.0005418768489007882,1,0,0,1.0,0.00024389296909966816,R_75,-1
32885.9572,1772698620,32928.2711,32872.7859,32928.2711,32915.88177043007,32977.09097493973,33049.52358726369,33117.26653600751,24.490691895542113,-61.20920450966514,32990.13772,102.67739147204892,33195.4925029441,32784.7829370559,0.012449465030247913,0.24634016674356,44.5663928571417,0.0013551800419281,-0.0009091225518057625,-0.0027635480342699287,-0.00494912995740513,0,1,-0.0012882899775949084,-1.0,0.0016878764145145165,-0.0012882899775949084,-0.00013707923832446942,-0.0011148248585331883,-0.002038258939952075,1,0,0,1.0,0.0005952358291094419,R_75,-1
32855.4179,1772698680,32897.008,32834.6725,32883.8601,32902.44535477894,32966.02978630885,33041.91159952786,33114.66107694276,27.376794470106674,-63.584431529910944,32973.505825,95.629700449925,33164.76522589985,32782.24642410015,0.011600792582682519,0.19128857341278038,43.948221428570314,0.00133762478877404,-0.0014292996849277389,-0.00335532932008655,-0.005644155876578491,0,1,-0.0009286425757434434,-1.0,0.0018984657148628742,-0.0009286425757434434,-0.0017659600469798111,-0.0009834266429195838,-0.0018482266812944036,1,0,0,1.0,0.00165063796068778,R_75,-1
32892.3712,1772698740,32902.5581,32848.6263,32849.412,32900.20665371695,32959.33355118986,33036.047270134615,33112.44923737119,35.696965900406056,-59.12689747291006,32960.407325,87.11931716185194,33134.6459593237,32786.1686906763,0.010572602007351028,0.3047616555762501,44.50158571428464,0.0013529455034936683,-0.0002381581915098853,-0.0020316658128375106,-0.004349069637774144,0,1,0.0011247246987535935,1.0,0.0016418281698433856,0.0011247246987535935,-0.0010935035868831918,5.793168183113044e-05,-0.001536409036593241,0,0,0,1.0,0.0016753915266527128,R_75,-1
32936.4095,1772698800,32936.4095,32896.8697,32903.2869,32908.251730668744,32957.24954653624,33032.13990659992,33110.69759819337,48.591410728821565,-48.997815867493046,32951.731235,79.77557955829208,33111.282394116584,32792.180075883414,0.00968393180793586,0.45198488345406745,43.55474285714133,0.0013223889160456706,0.0008556446438330814,-0.0006323357325922807,-0.002898098847685991,0,1,0.0013388606048566065,1.0,0.0012019319880760121,0.0013388606048566065,0.0015341593888592764,0.0006947778537321434,0.0008485744840232575,0,0,1,0.0,0.0007391394620595785,R_75,-1
32905.5321,1772698860,32941.0017,32899.4542,32933.1309,32907.64736829791,32952.547960487485,33027.1748945764,33108.65615045015,43.61392620589709,-44.90059218957322,32939.38941,64.78763435350824,33068.96467870702,32809.81414129298,0.007867496697900682,0.3693527308957478,44.175407142855484,0.0013424918037674123,-6.427892806318447e-05,-0.0014267746622769243,-0.0036831123147737506,0,1,-0.0009374853078628609,-1.0,0.0012628628957619744,-0.0009374853078628609,0.0015252948585991412,-0.0006938209848384155,-0.0002438205015525785,0,0,0,0.0,0.00017257280577448187,R_75,-1
32909.6503,1772698920,32920.1545,32870.3897,32900.9287,32908.09246423171,32948.64817317044,33022.56608694595,33106.675992734235,49.02841563894778,-40.55570893872937,32928.665705,48.23667249374079,33025.13904998748,32832.192360012516,0.005859535630855218,0.40144736350488613,45.04885714285514,0.0013688646561782257,4.733898721060908e-05,-0.0011835955443596897,-0.003419352289239226,0,1,0.00012515220806912352,1.0,0.0015139704899816578,0.00012515220806912352,0.0005253224188349088,0.0007204625322568984,-0.0003951655158168916,0,0,1,0.0,0.00036820506719271616,R_75,-1
