close,epoch,high,low,open,ema8,ema21,ema50,ema200,rsi,macd_hist,bb_mid,bb_std,bb_upper,bb_lower,bb_width,bb_pos,atr,atr_pct,price_ema8_dist,price_ema21_dist,price_ema50_dist,ema_bull,ema_bear,candle_body,candle_dir,high_low_range,momentum_1,momentum_3,momentum_5,momentum_10,rsi_oversold,rsi_overbought,rsi_neutral,kalman_price_vs_raw,kalman_velocity,kalman_trend_dir,kalman_noise_ratio,kalman_ema_agreement,kalman_acceleration,label,label_strength,symbol,trend5m
5393.636,1773052320,5394.303,5393.636,5394.303,5394.383643455261,5390.46852032573,5385.001108828755,5379.4410644201325,69.90533133587805,3.9151231295309117,5390.5143499999995,6.293275979588063,5403.100901959176,5377.927798040823,0.0046698890465531094,0.6240073536447259,1.6654999999999356,0.0003087898404712397,-0.0001385966413731052,0.000587607489465238,0.0016035077796156345,1,0,-0.00012401968372197282,-1.0,0.0001236642591378894,-0.00012401968372197282,-0.0003601096379089743,-0.0005862733471686372,0.00048617931873683266,0,1,0,-0.0007719354977397742,0.00011776755726067319,1.0,0.0005312721339430239,1.0,-2.851709753109974e-05,0.0,0.0005078206983193689,BOOM500,1
5392.986,1773052380,5393.624,5392.986,5393.624,5394.0730560207585,5390.6973821143,5385.314241815862,5379.575839898539,69.77574825491843,3.37567390645836,5391.31725,5.43443362540604,5402.1861172508125,5380.448382749188,0.004031989492294262,0.5767674294585488,1.6684285714285838,0.0003093700913424555,-0.0002015278639107898,0.00042454950138605727,0.001424570199556413,1,0,-0.00012051239646141,-1.0,0.00011830180905344611,-0.00012051239646141,-0.0003636735701623829,-0.0005928262281594246,-0.0003132718257779481,0,1,0,-0.0007780424283961659,8.933741859093575e-05,1.0,0.0005493860472421754,1.0,-2.803007842338441e-05,0.0,0.0005019482713286156,BOOM500,1
5392.342,1773052440,5392.984,5392.342,5392.984,5393.688376905034,5390.846892831182,5385.589840176025,5379.70286636721,69.35244685673229,2.8414840738514613,5391.5616,5.361005928780291,5402.283611857561,5380.839588142439,0.003977330744977698,0.5363924238432786,1.6780714285714566,0.0003111952892771743,-0.0002496208180656178,0.0002773417977805352,0.0012537456479890213,1,0,-0.00011941436525149905,-1.0,0.00011905773038889651,-0.00011941436525149905,-0.0003639023006672057,-0.0005999356139535757,-0.0011813911445676924,0,1,0,-0.0007618875970814017,6.172924395955601e-05,1.0,0.0005624783787347113,1.0,-2.724473121264519e-05,0.0,0.0005060880782412094,BOOM500,1
5391.589,1773052500,5392.325,5391.589,5392.325,5393.221848703915,5390.914357119256,5385.825101345593,5379.821136353607,68.39656088921393,2.3074915846591466,5391.7995,5.244333046752429,5402.2881660935045,5381.310833906496,0.003890599453301049,0.4899653588848874,1.7002857142857206,0.0003153589255942396,-0.0003027594172318063,0.00012514442561172744,0.0010701978890786867,1,0,-0.00013964247816620085,-1.0,0.00013650892158134878,-0.00013964247816620085,-0.0003795213470097801,-0.0006226195321994421,-0.001198393940932078,0,1,0,-0.0007450096557700574,3.486552766157246e-05,1.0,0.000574623264433881,1.0,-2.6084309141161742e-05,0.0,0.00047685385514361587,BOOM500,1
5390.897,1773052560,5391.577,5390.897,5391.577,5392.705215658601,5390.912779199323,5386.02399933204,5379.931343952078,49.620041211393115,1.7924364592781785,5392.0375,5.079241929554407,5402.195983859109,5381.8790161408915,0.0037679574220724,0.44386465461466684,1.180999999999975,0.00021907300399172437,-0.00033530771408588436,-2.926999558259731e-06,0.0009047491560683952,1,0,-0.00012834806213900846,-1.0,0.00012613856284033592,-0.00012834806213900846,-0.0003873549829352242,-0.0006317774022789393,-0.0012103908712109716,0,0,1,-0.000703287715660308,9.571917834144234e-06,1.0,0.0005830450141369733,1.0,-2.416789961172859e-05,0.0,0.0004650432015302105,BOOM500,1
5390.279,1773052620,5390.884,5390.279,5390.884,5392.166056623357,5390.855162908476,5386.190862103333,5380.034305703799,32.39086903921908,1.3108937148808764,5392.2773,4.8620769019006715,5402.001453803801,5382.553146196198,0.0036066964893669427,0.39725069963116966,0.9147857142856992,0.00016971027182186658,-0.0003499626316289726,-0.00010687783126501242,0.0007590035335419574,1,0,-0.00011463769387533687,-1.0,0.00011223908818069569,-0.00011463769387533687,-0.0003825795915761935,-0.0006224001768009389,-0.0012083086273346445,1,0,0,-0.000641284349843,-1.3466719351287426e-05,-1.0,0.0005886784840596717,0.0,-2.197981770701726e-05,0.0,0.0004591599061941624,BOOM500,1
5389.613,1773052680,5390.265,5389.613,5390.265,5391.598710707056,5390.742239007705,5386.3250635894765,5380.129616094806,0.0,0.8564716993505499,5392.515600000001,4.587795266849019,5401.691190533698,5383.340009466303,0.0034030835381163053,0.34183034381413235,0.650499999999998,0.00012069512226573558,-0.0003682971996992804,-0.00020947746296119937,0.000610422945460462,1,0,-0.0001235557565758943,-1.0,0.00012097343538395642,-0.0001235557565758943,-0.00036649677859340195,-0.0006254420093060746,-0.0012178974590381897,1,0,0,-0.0005825728844375734,-3.4392295690184006e-05,-1.0,0.0005925060040498115,0.0,-1.9632951913678685e-05,0.0,0.0004534648406110818,BOOM500,1
5389.018,1773052740,5389.607,5389.018,5389.607,5391.025219438821,5390.585490007004,5386.430668938909,5380.218057725703,0.0,0.43972943181688606,5392.7546,4.245626646450325,5401.245853292901,5384.263346707099,0.003149133948316911,0.27997358745898726,0.6457142857142831,0.00011982039876546768,-0.00037232610813685047,-0.00029078288618373133,0.0004803424048528741,1,0,-0.00011039753689184058,-1.0,0.00010929635046680691,-0.00011039753689184058,-0.0003485505287895262,-0.0006164297442557524,-0.001215995540052249,1,0,0,-0.0005107755159314835,-5.2744689861658204e-05,-1.0,0.0005946953062551753,0.0,-1.717790098563284e-05,0.0,0.00045852509678024055,BOOM500,1
5388.39,1773052800,5389.016,5388.39,5389.016,5390.439615119083,5390.385900006368,5386.507505451109,5380.299370584154,0.0,0.05371511271550844,5392.98765,3.831885605299525,5400.651421210599,5385.323878789401,0.0028421245172328205,0.20003997551095273,0.6457142857142831,0.00011983436345815412,-0.0003802315331265415,-0.0003702703374845402,0.00034948332421078055,1,0,-0.00011653329048069426,-1.0,0.00011617570368872382,-0.00011653329048069426,-0.00035044568193967114,-0.000593331576275483,-0.0012155816886464652,1,0,0,-0.0004456836543661209,-6.876685715875349e-05,-1.0,0.0005958679592262054,0.0,-1.4775241346259955e-05,0.0,0.0004815909761543345,BOOM500,1
5387.804,1773052860,5388.374,5387.804,5388.374,5389.8539228703985,5390.151181823971,5386.558348374596,5380.374043513664,0.0,-0.29725895357205445,5393.2135,3.3303315071273634,5399.874163014255,5386.552836985745,0.0024700164435378195,0.09392180715104549,0.6425714285714353,0.0001192640691033741,-0.0003803299495186886,-0.00043545751219100265,0.0002312518578361051,0,0,-0.00010875233604104921,-1.0,0.00010579449438021471,-0.00010875233604104921,-0.0003356456205668501,-0.0005737449630367246,-0.001205159886213346,1,0,0,-0.00037675754849903826,-8.231938308865445e-05,-1.0,0.0005962772444171919,1.0,-1.251801102247116e-05,0.0,0.0004836850041315102,BOOM500,1
