close,epoch,high,low,open,ema8,ema21,ema50,ema200,rsi,macd_hist,bb_mid,bb_std,bb_upper,bb_lower,bb_width,bb_pos,atr,atr_pct,price_ema8_dist,price_ema21_dist,price_ema50_dist,ema_bull,ema_bear,candle_body,candle_dir,high_low_range,momentum_1,momentum_3,momentum_5,momentum_10,rsi_oversold,rsi_overbought,rsi_neutral,kalman_price_vs_raw,kalman_velocity,kalman_trend_dir,kalman_noise_ratio,kalman_ema_agreement,kalman_acceleration,garch_vol,realized_vs_garch,ou_theta,ou_zscore,ou_rev_time,ou_mean_dist,vwap_dist,vwap_direction,session_asian,session_london,session_ny,session_overlap,session_night,session_strength,fd_price_03,fd_price_04,dltm_score,hurst_exponent,vg_hurst,vg_alpha,vg_hub_density,retail_exhaustion,retail_cycle_pos,flow_toxicity,flow_benign,gc_skewness,gc_kurtosis,gc_weight,contrarian_score,label,label_strength,symbol,trend5m
14559.932,1776685560,14560.876,14559.932,14560.876,14562.854247408548,14565.933003904247,14568.505224220014,14570.716976449952,26.63972645089916,-3.0787564956990536,14566.676449999999,3.5299725282215766,14573.736395056441,14559.616504943557,0.0009693281896766922,0.02234401641368657,1.2129285714284248,8.33059228180753e-05,-0.00020066446857883483,-0.0004119889815940943,-0.0005884765861744613,0,1,-6.49686097225666e-05,-1.0,6.48354676381386e-05,-6.49686097225666e-05,-0.00017764783688862596,-0.00031549256628789343,-0.000621182729170728,1,0,0,-7.957268219115383e-05,-4.4548709142197764e-05,-1.0,7.269702463693661e-05,1.0,-2.6020000262410327e-06,0.0025232345194542314,-0.9669844325312507,0.0,0.0,0.0,145599320000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.00022678677346168379,BOOM1000,-1
14559.275,1776685620,14559.919,14559.275,14559.919,14562.058859095538,14565.327730822042,14568.14325464276,14570.603125938012,26.964948710732145,-3.2688717265045852,14566.0576,3.692946853551895,14573.443493707104,14558.671706292896,0.0010141239187607778,0.04084094159917495,1.1990714285713173,8.235790783341323e-05,-0.00019117208098628021,-0.000415557475526915,-0.0006087429597409097,0,1,-4.5123837116894346e-05,-1.0,4.42329717654367e-05,-4.5123837116894346e-05,-0.0001707897711829772,-0.0002875003210088281,-0.0006006990926567638,1,0,0,-6.172756335806545e-05,-4.680814585160662e-05,-1.0,7.319272585979591e-05,1.0,-2.210780753377931e-06,0.0025322179450071726,-0.9674759414988767,0.03134275292973203,-2.151214326204753,0.6380856831291705,-0.0005081083543940001,-0.0005556597704921297,-1.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5434142884136501,0.0,0.0002511800896747443,BOOM1000,-1
14558.366,1776685680,14559.251,14558.366,14559.251,14561.238223740975,14564.694846201857,14567.759832892065,14570.481363490868,0.0,-3.4566224608824996,14565.432799999999,3.8891903040421654,14573.211180608083,14557.654419391914,0.0010680603473841523,0.04574092243194115,0.8939285714285299,6.140308407059762e-05,-0.0001972513392639778,-0.00043453338835366343,-0.000644837160951464,0,1,-6.243442753843474e-05,-1.0,6.0789789183773246e-05,-6.243442753843474e-05,-0.00017251706936907297,-0.0002851841772704447,-0.0005963457399379159,1,0,0,-5.972203141000585e-05,-4.8976232050652734e-05,-1.0,7.351391349054431e-05,1.0,-2.0850922249187024e-06,0.002539785856584888,-0.9758234807498648,0.022539990379354915,-2.136888345709512,0.8872724606775847,-0.0005280495389500626,-0.0005891439561920876,-1.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5424592230473009,0.0,0.00025044019363853467,BOOM1000,-1
14557.476,1776685740,14558.343,14557.476,14558.343,14560.402174020757,14564.038587456233,14567.35654532767,14570.35195688897,0.0,-3.6364134354753332,14564.804800000002,4.114312369483734,14573.03342473897,14556.576175261034,0.0011299327182150059,0.054676496225406074,0.8916428571428696,6.124982497947237e-05,-0.00020096793933189954,-0.0004506021744466019,-0.0006782661834990358,0,1,-6.113323432034968e-05,-1.0,5.9557027605622235e-05,-6.113323432034968e-05,-0.00016868210648237326,-0.0002943325127824523,-0.000594872725727356,1,0,0,-5.559134497837333e-05,-5.098467426916928e-05,-1.0,7.362092492532421e-05,1.0,-1.876103816455121e-06,0.0025462374638210205,-0.9759449291575302,0.008259496174970769,-2.0990241961603444,0.4,-0.0005462796821251941,-0.0006167038881207071,-1.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5399349464106897,0.0,0.0002513485167416033,BOOM1000,-1
14556.63,1776685800,14557.449,14556.63,14557.449,14559.563913127255,14563.365079505666,14566.93589649129,14570.215420004504,0.0,-3.801166378410926,14564.1783,4.362720675764109,14572.903741351527,14555.452858648472,0.0011982057857019615,0.06745454493910968,0.8822857142857694,6.0610574994746e-05,-0.00020151105793835968,-0.0004624672573198293,-0.0007074855387928945,0,1,-5.8114469843629626e-05,-1.0,5.626302241668014e-05,-5.8114469843629626e-05,-0.00018167113403657934,-0.00029174064915600436,-0.0005930546557743236,1,0,0,-4.856597758149883e-05,-5.2735071422422456e-05,-1.0,7.352653038067184e-05,1.0,-1.7832361695746563e-06,0.0025517053536357197,-0.9762469939826376,0.0,-2.0385345300051916,0.4,-0.0005612708245840994,-0.0006412329046161204,-1.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5359023020003462,0.0,0.0002567902048825445,BOOM1000,-1
14555.618,1776685860,14556.595,14555.618,14556.595,14558.68704354342,14562.660799550604,14566.492057413201,14570.070172044261,0.0,-3.97375600718442,14563.539899999998,4.639964880765652,14572.819829761529,14554.259970238467,0.0012744057866770557,0.07317026078989233,0.8862857142856748,6.088959701234773e-05,-0.0002108049671127477,-0.00048362038006273647,-0.0007465117456104798,0,1,-6.952158569660696e-05,-1.0,6.712184944664978e-05,-6.952158569660696e-05,-0.00018875744709259085,-0.00029629259257531393,-0.0006116916807528037,1,0,0,-5.0642907027674e-05,-5.455814761228437e-05,-1.0,7.332357800014982e-05,1.0,-1.7141279457556564e-06,0.00255633682217838,-0.9761808795686991,0.0,-2.013120513522992,0.4,-0.0005877640209885898,-0.0006777056328355495,-1.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5342080342348661,0.0,0.0002467775672665065,BOOM1000,-1
14554.72,1776685920,14555.581,14554.72,14555.581,14557.80547831155,14561.938908682367,14566.030408102879,14569.91743401397,0.0,-4.133430370817223,14562.903549999999,4.9390100592923565,14572.781570118585,14553.025529881414,0.0013566003626502743,0.08576972400516886,0.8809285714286099,6.052528467937617e-05,-0.00021194666436139017,-0.000495738151879153,-0.0007764921386260302,0,1,-6.169439181497079e-05,-1.0,5.9156067585001974e-05,-6.169439181497079e-05,-0.00018931853296555004,-0.0003128589850799755,-0.0006002693590301625,1,0,0,-4.479588160283149e-05,-5.617067809631851e-05,-1.0,7.306706497645448e-05,1.0,-1.510043061947002e-06,0.002560295422106429,-0.9763600005715043,0.0,-1.9502359823609825,0.4,-0.0006056151224609885,-0.0007025670037218778,-1.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5300157321573988,0.0,0.00023744874515622093,BOOM1000,-1
14553.817,1776685980,14554.714,14553.817,14554.714,14556.919149797872,14561.200553347604,14565.551450922374,14569.75723069045,0.0,-4.281403549732204,14562.264599999999,5.252812022847325,14572.770224045693,14551.758975954304,0.001442855810447817,0.09794868142689964,0.8802857142857518,6.048486897188221e-05,-0.00021310483117684782,-0.0005070703696823564,-0.0008056303918127177,0,1,-6.204172941837708e-05,-1.0,6.163331585115011e-05,-6.204172941837708e-05,-0.0001932452772379378,-0.000312466385307311,-0.0005975614521087372,1,0,0,-3.9293088384713066e-05,-5.758580851303867e-05,-1.0,7.269696135770514e-05,1.0,-1.3363243290260294e-06,0.002563635390994002,-0.976406564355828,0.0,-1.8875449701513436,0.4,-0.0006239518080168915,-0.0007294935646199495,-1.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5258363313434229,0.0,0.00023512732090136094,BOOM1000,-1
14552.892,1776686040,14553.798,14552.892,14553.798,14556.024227620568,14560.445230316003,14565.055001866596,14569.589417449748,0.0,-4.421002695435163,14561.365149999998,5.239886120447771,14571.844922240893,14550.885377759103,0.001439394195934276,0.0957378745817057,0.8840000000000146,6.07439401048269e-05,-0.00021518428188823627,-0.0005187499555492327,-0.0008350810803692606,0,1,-6.355720976835603e-05,-1.0,6.225566712106792e-05,-6.355720976835603e-05,-0.00018728163929560042,-0.00031488975149268395,-0.0006091295819833299,1,0,0,-3.510891368515302e-05,-5.8851107673764554e-05,-1.0,4.618742464524912e-05,1.0,-1.129187853507639e-06,0.002566471784502744,-0.9763316947005651,0.02028458009110305,-1.8306546399792576,0.9859220150559903,-0.000643622421199428,-0.0007574785587761228,-1.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5220436426652839,0.0,0.00022854563890800083,BOOM1000,-1
14552.026,1776686100,14552.864,14552.026,14552.864,14555.135732593775,14559.67984574182,14564.544060616927,14569.414657077115,0.0,-4.544113148045653,14560.468499999999,5.226237274811085,14570.920974549621,14550.016025450377,0.0014357332732283872,0.09614826326871095,0.892928571428586,6.136111710002346e-05,-0.00021365191303655186,-0.0005256877776786734,-0.0008594886709001942,0,1,-5.950707254612894e-05,-1.0,5.7586483146726945e-05,-5.950707254612894e-05,-0.00018509459474311336,-0.00031628199658844996,-0.0006079303734294532,1,0,0,-2.774265697811264e-05,-5.9852087914242417e-05,-1.0,3.001104970484472e-05,1.0,-7.809004642268573e-07,0.002568883962111904,-0.9761136681857188,0.019514600874643434,-1.8286209864933043,1.0,-0.0006413650027860135,-0.0006671307953059986,-1.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5219080657662203,0.0,0.0002289028345675133,BOOM1000,-1
